text,total
barack obama,393
george w. bush,359
bush,334
obama,268
,181
john howard,161
tony blair,158
gordon brown,130
hillary clinton,125
condoleezza rice,116
howard,106
john mccain,103
clinton,100
mahmoud ahmadinejad,100
stephen harper,95
saddam hussein,94
david cameron,94
laura hale,92
brown,89
mahmoud abbas,86
vladimir putin,86
nicolas sarkozy,85
mitt romney,85
fernando alonso,82
ban ki-moon,77
blair,74
george bush,74
smith,70
thaksin shinawatra,69
felipe massa,69
lewis hamilton,68
christian,67
rico shen,67
bill clinton,66
harper,61
mccain,59
hamid karzai,59
kofi annan,58
hamilton,58
kevin rudd,57
kimi r�_ikk̦nen,57
johnson,56
joe biden,55
ehud olmert,55
day,54
pervez musharraf,53
ron paul,53
abbas,52
alonso,52